feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag2,0.09127720712718805,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30
compartment/leaf_temperature_lag3,0.0863023757975906,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30
compartment/air_temperature_lag3,0.07712117977359827,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30
compartment/air_temperature_lag1,0.07505830048896002,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30
deltaT_raw_lag3,0.041675363374788534,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30
compartment/par_lag1,0.02407422087101741,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30
deltaT_raw_lag1,0.20508026654781814,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
deltaT_raw_lag2,0.12406083600743929,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/par_lag1,0.09067361881898672,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/leaf_temperature_lag1,0.08796381691511901,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
deltaT_raw_lag3,0.08436171565972993,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/leaf_temperature_lag3,0.0765154654127491,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/par_lag3,0.07346766632666399,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/par_lag2,0.06948551660149686,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/leaf_temperature_lag2,0.06668226681393487,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/air_temperature_lag2,0.04220369115622811,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/air_temperature_lag1,0.04022672416135402,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
compartment/air_temperature_lag3,0.03927841557847989,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,30
deltaT_raw_lag1,0.2985542416572571,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30
compartment/par_lag3,0.09773242473602295,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30
compartment/leaf_temperature_lag1,0.08266963809728622,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30
deltaT_raw_lag2,0.08001740276813507,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30
compartment/par_lag1,0.07788717746734619,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30
compartment/par_lag2,0.06534367054700851,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30
