target,stage,tau_max,tau_cap_lags,n_edges,n_features,pcmci_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,n_folds
substrate_bulk_ec_mean,fine,48,72,8,8,285.35626129992306,0.023211382852057223,0.00321019236695383,0.08601337292454282,0.057779580699436325,0.9166903580187823,5
substrate_bulk_ec_mean,fine,49,72,8,8,293.45153890002985,0.02321340473411022,0.0032097237355803673,0.08601205876549996,0.05778041174140093,0.9166933695603934,5
substrate_bulk_ec_mean,fine,50,72,8,8,307.60675660008565,0.02321507209136912,0.0032090836970179873,0.08601249593504778,0.05778004341279087,0.9166923253081807,5
substrate_bulk_ec_mean,fine,51,72,8,8,311.45132160000503,0.023208742717183557,0.0032124397042613026,0.08601245301672336,0.05778021190909069,0.9166924611440539,5
substrate_bulk_ec_mean,fine,52,72,8,8,312.1662540999241,0.023210413313104573,0.003212637340905119,0.08601235754562127,0.05778026187609835,0.9166926807350665,5
substrate_bulk_ec_mean,fine,53,72,8,8,314.536667700042,0.02321139363520703,0.0032123412779394515,0.08601233875919416,0.05778029334368781,0.9166927196794052,5
substrate_bulk_ec_mean,fine,54,72,8,8,336.2908551999135,0.023212502805901918,0.003211443766621703,0.0860123264618878,0.05778028330728552,0.9166927451847242,5
substrate_bulk_ec_mean,fine,55,72,8,8,355.31769310007803,0.023213936818192418,0.0032112264918564347,0.0860125734688519,0.05778022088930961,0.916692177646542,5
substrate_bulk_ec_mean,fine,56,72,8,8,362.0816100999946,0.023219628786865527,0.003208977516352265,0.08601408881475504,0.05777837038399192,0.9166885659792339,5
substrate_bulk_ec_mean,fine,57,72,8,8,372.0205159999896,0.02322318446926356,0.0032077917568694193,0.08601452148893962,0.05777610024559768,0.916687213183917,5
substrate_bulk_ec_mean,fine,58,72,10,10,392.6590218000347,0.02313862313853517,0.0031622119394963295,0.08570151196037437,0.057504379705571235,0.9173257300359277,5
substrate_bulk_ec_mean,fine,59,72,7,7,386.5181392999366,0.0222104450630084,0.0032148391437727504,0.08575542705550636,0.05761936106187171,0.917244774237411,5
substrate_bulk_ec_mean,fine,60,72,7,7,389.39799760002643,0.022210784934003865,0.003215139979646135,0.08575546638553048,0.05761943661389619,0.9172447114108889,5
substrate_temperature_mean,coarse,1,36,8,8,5.001141399960034,0.0069892229610902966,0.0017454818810772976,0.011994799792804298,0.004862874169856116,0.9993074604653944,5
substrate_temperature_mean,coarse,3,36,12,12,21.565187599975616,0.0061809963665676055,0.001457620801355059,0.010113400320149086,0.0034596477351521845,0.999527327445487,5
substrate_temperature_mean,coarse,36,36,19,19,218.10091809998266,0.006428601027204647,0.0010725218563362984,0.010617968378684308,0.0036180962996950825,0.9994812449648997,5
substrate_temperature_mean,fine,5,36,16,16,50.08268410002347,0.006287344625878856,0.001585699325322452,0.01046650094331084,0.003919363963729028,0.9994840548886887,5
substrate_temperature_mean,fine,6,36,12,12,52.46284139994532,0.00618797067620795,0.001467557522671084,0.010121903040048855,0.0034645336581039096,0.9995264513979013,5
substrate_temperature_mean,fine,7,36,12,12,58.77105780004058,0.006188135730028582,0.001467774705578567,0.010122243151579583,0.003464443521900932,0.9995264298581708,5
substrate_temperature_mean,fine,8,36,14,14,74.73777469992638,0.005491492183592256,0.0010513401158761372,0.00991750258897818,0.0038130076822204535,0.9995321593331127,5
substrate_temperature_mean,fine,9,36,14,14,82.54011280008126,0.005508585609904884,0.0011411730257244348,0.009987824480547258,0.0039157918567867414,0.999522879358187,5
substrate_temperature_mean,fine,10,36,15,15,93.84954750002362,0.005600017628695702,0.0012049209062795396,0.010047434997835229,0.003949578094228424,0.9995169223288904,5
substrate_temperature_mean,fine,11,36,14,14,87.96171840000898,0.0054140683981917384,0.0010964912335601753,0.009903368182110855,0.0039173757186073575,0.9995296518244275,5
substrate_temperature_mean,fine,12,36,14,14,91.71296260005329,0.005224896472074123,0.0008593402058553758,0.00939930576964861,0.0037339422216478564,0.999577140821646,5
substrate_temperature_mean,fine,13,36,14,14,99.52566429995932,0.005256803827406182,0.0009020542322936969,0.009452373984143548,0.0037627786206811792,0.9995720836427063,5
energy/energy_use.heating,coarse,6,36,11,11,51.872566399979405,0.17848469546822537,0.04055506129154872,0.30193246726842393,0.08001788427649331,0.7732199049716056,5
energy/energy_use.heating,coarse,9,36,14,14,83.1335394999478,0.17874748123482292,0.04109078882392156,0.3039614630064606,0.07905820227693672,0.7713528530248566,5
energy/energy_use.heating,coarse,12,36,14,14,97.94053390005138,0.17870264507299055,0.0410904607820571,0.30392943163665087,0.07906881093343313,0.7713728232226827,5
energy/energy_use.heating,coarse,36,36,14,14,233.01437240000814,0.1806816752640657,0.04392095936013321,0.3057724125316726,0.08092386982210521,0.7699069346090985,5
energy/energy_use.heating,fine,1,36,6,6,5.466421299963258,0.18699086465118503,0.038227957473966304,0.3208325953628729,0.08438707989950481,0.7465516721879358,5
energy/energy_use.heating,fine,2,36,9,9,14.539686500094831,0.19856484476494013,0.03553711819305408,0.32300758985670525,0.07631403017265945,0.7387495909662282,5
energy/energy_use.heating,fine,3,36,13,13,22.703557300032116,0.18711013162328355,0.03739515477193519,0.3113453321727414,0.07843539110828333,0.7586651642051698,5
energy/energy_use.heating,fine,4,36,14,14,35.75387390004471,0.1850661472088062,0.03722484488577732,0.31036985373976844,0.07867145925379979,0.760052800846761,5
energy/energy_use.heating,fine,5,36,15,15,47.42333680007141,0.18078823563886345,0.03861839750404596,0.303780625582456,0.07897294792250914,0.7705341551999785,5
energy/electricity_use.lighting,coarse,6,36,5,5,55.59812890004832,0.07091449587394333,0.007551479569264975,0.17675917337955335,0.023542897336452078,0.9632578601381786,5
energy/electricity_use.lighting,coarse,9,36,8,8,87.61720679991413,0.07600744827786461,0.006683111023898544,0.17590694957152145,0.02389444610906184,0.9635972336341997,5
energy/electricity_use.lighting,coarse,12,36,7,7,97.67240170005243,0.07186839572983997,0.0057594089911948984,0.175397773632962,0.024185186573044658,0.9637705678273886,5
energy/electricity_use.lighting,coarse,36,36,10,10,213.80930559989065,0.0748406659044146,0.008301309562042397,0.17428673456384464,0.024653763448410006,0.9641974524759627,5
energy/electricity_use.lighting,fine,1,36,2,2,5.270562499994412,0.061564197125518624,0.009396981620634081,0.18488530383117152,0.024833140037835922,0.9597755386012341,5
energy/electricity_use.lighting,fine,2,36,4,4,14.672988399979658,0.07227484447043005,0.006416010651438979,0.1778439147900642,0.02346101532766059,0.9628327046951475,5
energy/electricity_use.lighting,fine,3,36,4,4,21.87360869999975,0.07228343232594567,0.006411111310659681,0.1778460188553644,0.02345910983580257,0.9628319789712994,5
energy/electricity_use.lighting,fine,4,36,3,3,33.28154999995604,0.0678086406699155,0.007336063509888967,0.176473928918157,0.024801253428741198,0.9632784174464224,5
energy/electricity_use.lighting,fine,5,36,5,5,44.44963569997344,0.0713794575587304,0.007112920216744484,0.17705113601181968,0.02349718701649067,0.9631419807138745,5
energy/co2_dosage,coarse,6,12,13,13,49.19864590000361,0.3516828699424888,0.0631811415985918,0.5747952937179256,0.07637755289543735,0.5191073244715471,5
energy/co2_dosage,coarse,9,12,14,14,79.11829140002374,0.35083358588181807,0.06250681620208547,0.5728026739265148,0.07557058331988607,0.5228548047251821,5
energy/co2_dosage,coarse,12,12,15,15,87.31411689997185,0.3508085899728458,0.06245532870188327,0.5728707587360125,0.07503202866314983,0.5225539814086358,5
energy/co2_dosage,fine,1,12,6,6,5.08306790003553,0.36211446386468393,0.06494898616803545,0.5838968179968766,0.0749497109551647,0.503781209996662,5
energy/co2_dosage,fine,2,12,8,8,14.050578300026245,0.3560326115649072,0.060639613868658106,0.5822164266817427,0.0750990946150556,0.5066958433976855,5
